,Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,Body,Title,Tags,AnswerCount,CommentCount,link
0,65567880,1,65568530.0,2021-01-04 18:27:10,0,86,"<p>I want to group by a multiple fields of a collection
<a href=""https://i.stack.imgur.com/m5JfN.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/m5JfN.png"" alt=""enter image description here"" /></a></p>
<p>based on entityname, jurisdiction, source group the values and stored in a list
I am expecting out put like
[A PACIFIC TRADING POST &amp; LOGO SHOPPE,United States,Hawaii Business Express]=[Alternative_names:A PACIFIC TRADING POST &amp; LOGO SHOPPE (&amp; DESIGN OF OCEAN WITHSUN, SAILBOAT, CLOUDS, 2 ISLANDS, BANNER OVER A CIRCULAR BAND, 2 PALM TREES, 2 FLOWERS AT BASE OF ONE TREE), Identifiers.Other_company_id_number:25510 G5, Identifiers.Name:A PACIFIC TRADING POST &amp; LOGO SHOPPE, status:Inv. Cancelled, Address.Full_address:140 N KALAHEO AVE STE BKAILUA, Hawaii 96734, UNITED STATES, Address.country:United States]</p>
<pre><code>Map&lt;List&lt;String&gt;, List&lt;String&gt;&gt; map = Files.lines(Path.of(file)).skip(1).map(s -&gt; s.split(&quot;:&quot;))
    .limit(10).collect(Collectors.groupingBy(arr -&gt; Arrays.asList(arr[0], arr[2]),
        Collectors.mapping(arr -&gt; arr[1], Collectors.toList())));
System.out.println(map);
</code></pre>
<p>and i am getting</p>
<pre><code> java.lang.ArrayIndexOutOfBoundsException: Index 2 out of bounds for length 1



Map&lt;List&lt;String&gt;, List&lt;String&gt;&gt; map5 = Files.lines(Path.of(file), StandardCharsets.ISO_8859_1)
    .skip(1).map(s -&gt; s.split(&quot;,&quot;)).filter(arr -&gt; arr.length &gt; 1).collect(
        Collectors.groupingBy(arr -&gt; Arrays.asList(arr[0], arr.length &gt; 2 ? arr[3] : &quot;EMPTY&quot;),
            Collectors.mapping(strings -&gt; String.join(&quot;:&quot;, strings),
                Collectors.toList())));

System.out.println(&quot;map values are : &quot; + map5);
</code></pre>
",Collectors.groupingBy giving java.lang.ArrayIndexOutOfBoundsException,<java>,1,3,https://stackoverflow.com/q/65567880
1,66307249,1,66308029.0,2021-02-21 21:21:30,0,137,"<p>I am doing a simple project in java swing, just to make time pass.
When I try to start the application, it gives me this error:</p>
<pre><code>   Java HotSpot(TM) 64-Bit Server VM warning: Sharing is only supported for boot loader classes because bootstrap classpath has been appended
Exception in thread &quot;main&quot; java.lang.UnsatisfiedLinkError: D:\Java\bin\awt.dll: Routine di inizializzazione della libreria di collegamento dinamico (DLL) non riuscita
    at java.base/jdk.internal.loader.NativeLibraries.load(Native Method)
    at java.base/jdk.internal.loader.NativeLibraries$NativeLibraryImpl.open(NativeLibraries.java:383)
    at java.base/jdk.internal.loader.NativeLibraries.loadLibrary(NativeLibraries.java:227)
    at java.base/jdk.internal.loader.NativeLibraries.loadLibrary(NativeLibraries.java:169)
    at java.base/jdk.internal.loader.NativeLibraries.findFromPaths(NativeLibraries.java:310)
    at java.base/jdk.internal.loader.NativeLibraries.loadLibrary(NativeLibraries.java:280)
    at java.base/java.lang.ClassLoader.loadLibrary(ClassLoader.java:2416)
    at java.base/java.lang.Runtime.loadLibrary0(Runtime.java:809)
    at java.base/java.lang.System.loadLibrary(System.java:1893)
    at java.desktop/java.awt.Toolkit$2.run(Toolkit.java:1380)
    at java.desktop/java.awt.Toolkit$2.run(Toolkit.java:1378)
    at java.base/java.security.AccessController.doPrivileged(AccessController.java:312)
    at java.desktop/java.awt.Toolkit.loadLibraries(Toolkit.java:1377)
    at java.desktop/java.awt.Toolkit.&lt;clinit&gt;(Toolkit.java:1410)
    at java.desktop/java.awt.Component.&lt;clinit&gt;(Component.java:622)
    at com.company.Main.main(Main.java:6)

</code></pre>
<p>Here's the code (I got 3 classes):</p>
<p>this is the class page:</p>
<pre><code>package com.company;

import javax.swing.*;
import java.awt.*;

public class Page extends JFrame {
    Header header = new Header();
    public Page(){
        super(&quot;FW Ultra&quot;);
        this.setSize(1000, 700);
        this.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
        this.getContentPane().setLayout(new FlowLayout());

        this.add(header);

        this.setVisible(true);
    }
}
</code></pre>
<p>this is the class header:</p>
<pre><code>package com.company;

import javax.swing.*;
import java.awt.*;

public class Header extends JPanel {
    public Header(){
        super();
        this.setLayout(new BorderLayout());
        add(new JLabel(&quot;FVU | Film Viewer Ultra&quot;),  BorderLayout.WEST);
        add(new JLabel(&quot;Version 1.0&quot;),  BorderLayout.EAST);
    }
}
</code></pre>
<p>and this is the main</p>
<pre><code>package com.company;

public class Main {

    public static void main(String[] args) {
        Page p = new Page();
    }
}
</code></pre>
<p>PLZ help mee</p>
",java.lang.UnsatisfiedLinkError in Swing,<java>,1,0,https://stackoverflow.com/q/66307249
2,65864366,1,65864563.0,2021-01-23 21:04:04,-1,59,"<p>I want to print a quiz to my GUI using my draw method which changes depending on how many times it is looped through, but the way I'm doing it does not print the String[] fruit to the screen. I assume because its not registering the loop I'm trying to make with the time value(?) but I can't figure out why.</p>
<pre><code>public class Fruit {

    private String[] fruit = {};

    public void draw(Graphics2D g) {
        int time = 0;

        for (int i = 0; i &lt; fruit.length; i++) {
            g.drawString(fruit[i], 100, 100);
        }

        if(time == 0){
            String[] fruit = {
                &quot;Apples&quot;,
                &quot;Pears&quot;
            };
        }
        else if(time == 1){
            String[] fruit = {
                &quot;Bananas&quot;,
                &quot;Kiwi&quot;
            };
        }
        time++;
    }
}
</code></pre>
",How can I draw a string array in Java which changes contents on each loop?,<java>,1,0,https://stackoverflow.com/q/65864366
3,66306826,1,66306909.0,2021-02-21 20:30:27,0,76,"<p>I have an array of dice that are apart of a larger program. (This section of code is in my main)</p>
<pre><code>int[] Dice = new int[] { 0, 0, 0, 0, 0 };
      System.out.println(&quot;Die 1: &quot; + Dice[0]);
      System.out.println(&quot;Die 2: &quot; + Dice[1]);
      System.out.println(&quot;Die 3: &quot; + Dice[2]);
      System.out.println(&quot;Die 4: &quot; + Dice[3]);
      System.out.println(&quot;Die 5: &quot; + Dice[4]);
</code></pre>
<p>I am trying to get user input so the user can chose how many dice they would like to roll with.(This section of code is from my configuration class)</p>
<pre><code>String file = &quot;yahtzeeConfig.txt&quot;;
        Scanner scan = new Scanner(System.in);
        //configures number of dice in hand
        System.out.println(&quot;Enter the number of dice you would like in your hand (1-5): &quot;);
        int hand = scan.nextInt();
</code></pre>
<p>Super basic and kind of embarrassing to ask, but how would I use the values read from the user to change the amount of dice for each roll??</p>
",Java: using the values read from the user,<java>,1,2,https://stackoverflow.com/q/66306826
4,65568018,1,65568715.0,2021-01-04 18:37:05,-2,75,"<pre><code>&quot;ab&quot; + 'c' // String + char
&quot;ab&quot; + &quot;c&quot; // String + String of single char
</code></pre>
<p>What is the difference between these expressions?</p>
<ul>
<li>Is there any impact on the performance?</li>
<li>Is there any difference in behavior on different Java versions?</li>
</ul>
",Difference between String + char and String + single char String,<java>,1,6,https://stackoverflow.com/q/65568018
5,66308790,1,66309095.0,2021-02-22 00:57:27,0,180,"<p>Here I have a simple method that finds all duplicate numbers using hashmaps. This only shows the numbers which are duplicated, I need to count the occurrence of each number as well. How can I implement my for loop to fount the frequency of each number?</p>
<p>//driver</p>
<pre><code>public class findDuplicates{

public static void main(String[] args){

int [] input = {2,3,6,5,5,6,9,8,7,7,7,4,1,2,5,5,2};
    dulicates(input);

}
public static void dulicates(int[] MyArray){
        Map&lt;Integer,Integer&gt; HashMap = new HashMap&lt;Integer, Integer&gt;();
        for (int i : MyArray){
            if(!HashMap.containsKey(i)){
                HashMap.put(i, 1);
            }else{
                HashMap.put(i, HashMap.get(i)+1);
            }
        }
        for (Integer i : HashMap.keySet()){
            
                System.out.println(&quot;This has a duplicate: &quot; + i );
            }
        }
}
</code></pre>
<p>}</p>
",count number of loop iteration in Java,<java>,3,3,https://stackoverflow.com/q/66308790
6,66815623,1,66815757.0,2021-03-26 11:01:30,2,384,"<p>I want to loop through an ArrayList of Objects, which is sorted by one of the Object's attributes, which is an Integer (with Collections.sort() ). If a certain condition is met, i want to modify that attribute by adding +60. Now, I want to resort my collection, hoping that I will get to the same object again at a bigger index.</p>
<p>Does that make sense, considering that I'm iterating through the ArrayList while sorting it new?</p>
<pre><code>ArrayList&lt;Object&gt; list = new ArrayList&lt;&gt;();
Collection.sort(list, Comparator.comparing(Order::getInt);

for (int i = 0; i &lt; list.size(); i++) {
   Object dummy = list.get(i);

   if (dummy &lt; 8) {
      dummy.setInt(8+60);
      Collection.sort(list, Comparator.comparing(Order::getInt);
   }
}
</code></pre>
",Sort collection while iterating through it,<java>,2,0,https://stackoverflow.com/q/66815623
7,69084461,1,69085268.0,2021-09-07 08:02:14,0,37,"<p>I get a resource leak warning in <strong><code>return new ArrayList&lt;&gt;();</code></strong>. The file is not writing in the friends.txt which I am trying to save list in a text file. Please help.</p>
<pre><code>import java.io.*;
import java.util.ArrayList;

public class ReadWrite {

    public void writeFriends(ArrayList&lt;Friend&gt; friends) {
        FileOutputStream friendFile;
        ObjectOutputStream friendWriter;
        try {
            friendFile = new FileOutputStream(new File(&quot;C:\\Users\\aa\\Desktop\\src\\friends.txt&quot;));
            friendWriter = new ObjectOutputStream(friendFile);
            if(friends.size() &gt;0) {
                friendWriter.writeInt(friends.size());
                for (Friend friend : friends) {
                    friendWriter.writeObject(friend);
                }
            }
            else {
                System.out.println(&quot;No data to write&quot;);
            }
            friendWriter.close();
            friendFile.close();

        } catch (FileNotFoundException e) {
            System.out.println(&quot;File Not Found. Retry after creating File 'Friends.txt'&quot;);
        } catch (IOException e) {
            System.out.println(&quot;Stream cannot be initialized.&quot;);
        }
    }

    public ArrayList&lt;Friend&gt; readFriends() {
        FileInputStream friendFile;
        ObjectInputStream friendReader;
        ArrayList&lt;Friend&gt; friends = new ArrayList&lt;&gt;();
        try {
            friendFile = new FileInputStream(new File(&quot;C:\\Users\\aa\\Desktop\\src\\friends.txt&quot;));
            friendReader = new ObjectInputStream(friendFile);
            int size = friendReader.readInt();
            if(size &gt; 0){
                for (int i = 0; i &lt; friendReader.readInt(); i++) {
                    friends.add((Friend) friendReader.readObject());
                }
            }
            else{
               System.out.println(&quot;Empty File&quot;);
               return new ArrayList&lt;&gt;();
            }
            friendReader.close();
            friendFile.close();

        } catch (FileNotFoundException e) {
            System.out.println(&quot;File Not Found. Retry after creating File 'Friends.txt'&quot;);
        } catch (ClassNotFoundException e) {
            e.printStackTrace();
        } catch (IOException e) {
            System.out.println(&quot;Stream cannot be inititalized&quot;);
        }
        return friends;
    }
}
</code></pre>
<p>I am trying to save a list of friends in the friends.txt file. I see no output in the friends.txt file. Is it something to do with my location or <code>FileOutputStream</code> ?</p>
",resource leak and output file is not writing,<java>,1,1,https://stackoverflow.com/q/69084461
8,66307793,1,66308023.0,2021-02-21 22:23:56,2,293,"<p>For example, I have a parent class that is constructed as:</p>
<pre><code>public class ArrayIndexedList&lt;T&gt; implements IndexedList&lt;T&gt; {

  private final T[] data;

  public ArrayIndexedList(int size, T defaultValue) throws LengthException {
    if (size &lt;= 0) {
      throw new LengthException();
    }
    if (defaultValue == null) {
      return;
    }
    for (int i = 0; i &lt; size; i++) {
      data[i] = defaultValue;
    }
  }

}
</code></pre>
<p>And I have a subclass that extends this class constructed as following:</p>
<pre><code>public class MeasuredIndexedList&lt;T&gt; extends ArrayIndexedList&lt;T&gt; {

  private int accessCount;
  private int mutationCount;

  public MeasuredIndexedList(int size, T defaultValue) {
    super(size, defaultValue); //how to take the exception thrown by this line? 
    accessCount = 0;
    mutationCount = 0;
  }

}
</code></pre>
<p>What is the most appropriate way that I can handle the exception form calling the <code>super</code> constructor while not changing the declaration of the subclass constructor?</p>
",Exception handling when calling the super class constructor and methods,<java>,1,2,https://stackoverflow.com/q/66307793
9,67788851,1,67790124.0,2021-06-01 12:26:30,0,41,"<p>I'm having trouble converting the type of my two variables <code>editPaginas_livro</code> and <code>editAno_publicacao</code> which are <strong>int</strong> and my variable which is a Spinner <code>spinnerCategoria_livro</code> which is a <strong>string</strong>.</p>
<pre><code>EditText editPaginas_livro, editAno_publicacao;
Spinner spinnerCategoria_livro;

editPaginas_livro = findViewById(R.id.editPaginas_livro);
editAno_publicacao = findViewById(R.id.editAno_publicacao);
spinnerCategoria_livro = findViewById(R.id.spinnerCategoria_livro);

String categoria_livro = spinnerCategoria_livro.getText().toString(); //error: cannot find symbol method getText()
int paginas_livro = editPaginas_livro.getText().toString(); //error: incompatible types: String cannot be converted to int
int ano_publicacao = editAno_publicacao.getText().toString(); //error: incompatible types: String cannot be converted to int

</code></pre>
",Type Conversion Errors in Android Studio,<java>,1,0,https://stackoverflow.com/q/67788851
